,-0.09460407885996294,128061
"M@[,APO,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU]",3.335750543872367,1
"M@[,APO,CROSSOVER-MACD]P@[,ENGULFING,LONGLINE]",-2.4240538960564497,2
"M@[,APO,CROSSOVER-MACD]P@[,ENGULFING]",0.488431876606678,1
"M@[,APO,CROSSOVER-MACD]P@[,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-3.1818181818181817,1
"M@[,APO,CROSSOVER-MACD]P@[,HIKKAKE]",-2.5130890052356083,1
"M@[,APO,CROSSOVER-MACD]P@[,LONGLINE]",0.02838038108073102,9
"M@[,APO,CROSSOVER-MACD]P@[,SHORTLINE]",0.4105553550487464,5
"M@[,APO,CROSSOVER-MACD]P@[,SPINNINGTOP,HIGHWAVE,SHORTLINE]",-0.24001600106674686,1
"M@[,APO,CROSSOVER-MACD]P@[,SPINNINGTOP,HIGHWAVE]",-0.4309012924334634,2
"M@[,APO,CROSSOVER-MACD]P@[,SPINNINGTOP]",-0.4788029925186987,1
"M@[,APO,CROSSOVER-MACD]V@[,AD:OBV]",-1.928571428571426,1
"M@[,APO]",-0.1529404056642541,1198
"M@[,APO]O@[,CROSSOVER21]",-0.91422229861685,33
"M@[,APO]O@[,CROSSOVER21]V@[,AD:OBV]",1.4722222222222254,1
"M@[,APO]O@[,CROSSOVER50]",-0.09331523583305248,2
"M@[,APO]P@[,2CROWS,SHORTLINE]",-0.5531178976426965,2
"M@[,APO]P@[,3INSIDE]",-1.4462963024863253,7
